Id	Retry	Status	ExitCode	Submit	Start	Finish	Wall time	Site	data.ScheddName	Job LOG	PostJob Log	_id	data.Status
5802	1	failed	60317	Feb-09 16:29:45	Feb-09 19:58:09	Feb-10 01:18:36	05:20:27	T2_US_UCSD	undefined	JobLog	PostJob	undefined	undefined
5806	1	failed	60317	Feb-09 17:04:38	Feb-09 20:12:31	Feb-10 01:23:04	05:10:33	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
5506	1	failed	60317	Feb-09 16:00:20	Feb-09 19:58:08	Feb-10 01:30:52	05:32:44	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
3409	4	failed	60317	Feb-09 18:24:34	Feb-09 19:19:22	Feb-10 01:15:57	05:56:34	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
7832	0	failed	50660	Feb-09 00:39:59	Feb-10 22:00:42	'-	03:25:49	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
7542	1	failed	50660	Feb-10 10:17:35	Feb-10 20:35:32	'-	05:01:17	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
7458	1	failed	50660	Feb-10 10:17:33	Feb-10 20:35:36	'-	04:46:13	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
5712	2	failed	50660	Feb-10 17:11:47	Feb-10 20:25:46	'-	04:51:00	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
7394	1	failed	50660	Feb-10 16:25:01	Feb-10 21:38:28	'-	03:41:03	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
3512	2	failed	60317	Feb-09 18:21:22	Feb-09 18:27:51	Feb-10 01:54:14	07:26:23	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
7536	1	failed	50660	Feb-10 11:43:10	Feb-10 21:20:35	'-	04:45:56	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
7859	0	failed	50660	Feb-09 01:04:31	Feb-10 23:12:42	'-	02:46:23	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
7437	1	failed	50660	Feb-10 10:58:17	Feb-10 20:35:33	'-	05:17:15	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
7783	0	failed	50660	Feb-09 00:33:56	Feb-10 21:46:35	'-	04:40:44	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
7797	0	failed	50660	Feb-09 00:34:04	Feb-10 21:47:42	'-	04:36:01	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
