Id	Retry	Status	ExitCode	Submit	Start	Finish	Wall time	Site	data.ScheddName	Job LOG	PostJob Log	_id	data.Status
697	1	finished	0	Jan-29 14:22:41	Jan-29 18:59:33	Jan-29 22:25:35	03:26:02	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
682	1	finished	0	Jan-29 14:22:39	Jan-29 17:50:40	Jan-29 21:19:37	03:28:57	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
667	1	finished	0	Jan-29 14:22:31	Jan-29 16:43:18	Jan-29 20:34:43	03:51:25	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
670	1	finished	0	Jan-29 14:22:32	Jan-29 16:55:25	Jan-29 20:28:47	03:33:22	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
630	1	finished	0	Jan-29 13:15:48	Jan-29 14:02:52	Jan-29 20:12:26	06:09:34	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
638	1	finished	0	Jan-29 13:15:50	Jan-29 14:22:11	Jan-29 17:50:23	03:28:12	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
627	1	finished	0	Jan-29 13:15:48	Jan-29 13:56:56	Jan-29 17:24:09	03:27:13	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
626	1	finished	0	Jan-29 13:15:48	Jan-29 13:51:58	Jan-29 17:21:01	03:29:03	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
593	1	finished	0	Jan-29 08:54:51	Jan-29 12:47:51	Jan-29 16:53:09	04:05:18	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
517	1	finished	0	Jan-29 06:05:14	Jan-29 08:11:11	Jan-29 15:22:28	07:11:17	T2_US_MIT	undefined	JobLog	PostJob	undefined	undefined
552	1	finished	0	Jan-29 08:54:40	Jan-29 10:27:58	Jan-29 14:22:11	03:54:13	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
547	1	finished	0	Jan-29 08:54:39	Jan-29 10:39:23	Jan-29 14:17:45	03:38:22	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
539	1	finished	0	Jan-29 08:54:38	Jan-29 10:09:25	Jan-29 14:05:52	03:56:27	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
537	1	finished	0	Jan-29 08:54:37	Jan-29 09:52:44	Jan-29 13:15:30	03:22:46	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
487	1	finished	0	Jan-29 06:05:04	Jan-29 07:18:34	Jan-29 13:13:20	05:54:46	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
541	1	finished	0	Jan-29 08:54:38	Jan-29 09:59:57	Jan-29 13:24:54	03:24:57	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
509	1	finished	0	Jan-29 06:05:13	Jan-29 09:24:27	Jan-29 12:55:48	03:31:21	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
587	2	finished	0	Jan-29 08:54:50	Jan-29 09:01:45	Jan-29 12:38:59	03:37:14	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
504	1	finished	0	Jan-29 06:05:12	Jan-29 08:03:45	Jan-29 11:36:12	03:32:27	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
495	1	finished	0	Jan-29 06:05:05	Jan-29 07:49:35	Jan-29 11:24:32	03:34:57	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
449	1	finished	0	Jan-29 02:25:51	Jan-29 05:23:30	Jan-29 09:01:45	03:38:15	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
446	1	finished	0	Jan-29 02:25:50	Jan-29 05:12:04	Jan-29 08:38:55	03:26:51	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
430	1	finished	0	Jan-29 02:25:42	Jan-29 03:51:38	Jan-29 07:59:30	04:07:52	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
431	1	finished	0	Jan-29 02:25:42	Jan-29 03:55:36	Jan-29 07:40:29	03:44:53	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
