Id	Retry	Status	ExitCode	Submit	Start	Finish	Wall time	Site	data.ScheddName	Job LOG	PostJob Log	_id	data.Status
976	4	finished	0	Jan-26 18:49:36	Jan-31 07:56:59	Jan-31 16:03:02	08:06:03	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
319	4	finished	0	Jan-26 19:11:52	Jan-31 08:28:05	Jan-31 13:32:06	05:04:01	T2_US_UCSD	undefined	JobLog	PostJob	undefined	undefined
855	4	finished	0	Jan-26 18:39:33	Jan-31 07:56:40	Jan-31 13:04:36	05:07:55	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
978	4	finished	0	Jan-26 19:13:38	Jan-31 08:28:05	Jan-31 12:57:01	04:28:56	T2_US_MIT	undefined	JobLog	PostJob	undefined	undefined
1031	4	finished	0	Jan-26 18:47:31	Jan-31 07:56:49	Jan-31 11:54:29	03:57:40	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
1030	4	finished	0	Jan-26 18:03:24	Jan-30 23:59:58	Jan-31 08:51:39	08:51:41	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
743	4	finished	0	Jan-26 18:04:24	Jan-31 03:54:26	Jan-31 07:50:37	03:56:11	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
847	4	finished	0	Jan-26 18:14:28	Jan-30 23:59:56	Jan-31 07:49:23	07:49:27	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
745	4	finished	0	Jan-26 18:05:20	Jan-31 00:00:01	Jan-31 05:18:49	05:18:48	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
1018	4	finished	0	Jan-26 18:16:29	Jan-31 00:00:01	Jan-31 05:01:01	05:01:00	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
606	4	finished	0	Jan-26 18:05:26	Jan-30 23:59:58	Jan-31 04:15:46	04:15:48	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
842	4	finished	0	Jan-26 17:54:19	Jan-30 12:39:23	Jan-30 17:42:03	05:02:40	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
966	4	finished	0	Jan-26 17:54:19	Jan-30 08:02:39	Jan-30 16:53:30	08:50:36	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
396	4	finished	0	Jan-26 17:41:45	Jan-30 07:38:27	Jan-30 14:54:08	07:15:41	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
627	4	finished	0	Jan-26 17:41:44	Jan-30 07:38:27	Jan-30 14:45:28	07:07:00	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
