,MVA
0,0.27099413247063997
1,0.4866967032040683
2,0.38803089430487003
3,0.8965782337672177
4,0.6404211034765943
5,-0.7340772871856467
6,0.20242825511487483
7,-0.2538083610965517
8,0.44194519069995963
9,0.5758228399073959
10,0.8321829163231584
11,0.25934653025624566
12,-0.27767794532373224
13,0.31147983480236663
14,0.143814193528073
15,0.23264887414719704
16,0.28411027312868287
17,0.29701880491258104
18,0.30516119642935435
19,0.028315311661823772
20,-0.2848029263611511
21,0.1669911349874984
22,0.2991616224132585
23,0.5356871005305888
24,0.20124945630484614
25,0.44019901538099293
26,0.7728949607205904
27,0.32784030137835685
28,-0.07393481099411114
29,0.3642544343408465
30,-0.8880434308003498
31,-0.8430015919084809
32,0.006506988516831846
33,-0.8895300999718954
34,-0.06840623595938167
35,0.16090756158212738
36,0.6440589106922423
37,0.5523332248661588
38,0.19067200219712643
39,0.5704172794012052
40,0.009166437960257623
41,0.36042541909249226
42,-0.9483098618198234
43,0.4693164260295357
44,0.3818420997147909
45,-0.7963521098445077
46,0.032844819279407966
47,0.34458513668615653
48,0.9019071726101768
49,0.4097504387399846
50,0.5816652983953212
51,0.9172180235828593
52,-0.8330690790524552
53,0.3559520631338793
54,-0.27463501381174393
55,0.6656239617066555
56,-0.9735808165575439
57,0.26342050854219545
58,0.4597865296654682
59,0.5805093058395121
60,0.6483739620222317
61,0.21518209761362095
62,0.3230869436295343
63,-0.4644074986700545
64,0.6736671443595366
65,-0.880910279664044
66,0.20898557948714647
67,0.3012114036749771
68,0.32536943765663096
69,0.6620067116396613
70,0.10163922066670716
71,0.2925534977132638
72,0.7301218916318037
73,-0.03465473396370111
74,0.12925592182277712
75,-0.9968643411189766
76,-0.9073055628670783
77,-0.8616374456832994
78,-0.21418276781135004
79,0.39379998005936945
80,-0.9458267472957409
81,-0.883493058587147
82,-0.8323378474162018
83,0.2969963992579039
84,-0.06381438525154437
85,0.4793346075785252
86,0.08740987800429156
87,0.5444935090215386
88,0.19805629621409082
89,-0.2445529733358751
90,-0.5302265408166782
91,0.6459169571067038
92,-0.6716600061042766
93,0.21692561635370278
94,-0.2902545936732882
95,0.16441441093779052
96,0.1933983125104466
97,-0.2747401933894097
98,0.3369990084961829
99,0.8348433905003974
100,0.5354617008723255
101,0.5213462734628076
102,-0.8331642965932051
103,-0.15527973534764739
104,-0.09684406559396752
105,0.351039191398558
106,0.546393259237469
107,-0.862734162208592
108,0.8424261022930273
109,0.26426214726591435
110,0.1050350512468361
111,0.4562641053917653
112,0.577789727415414
113,0.2481523389439173
114,0.459001542701996
115,-0.2950356538227431
116,0.25864607077601587
117,-0.17701478318948904
118,-0.5979332448672635
119,-0.9275953257180288
120,0.021660535741607978
121,-0.10323021153152057
122,0.4227758574388867
123,-0.8038189541610204
124,0.27077493660442786
125,0.5914106976647662
126,0.9477576286766087
127,0.35921694397873405
128,0.29585957422259046
129,0.2557257640489574
130,0.11814517792029577
131,-0.926824438085327
132,0.4073496863714794
133,0.352620867307774
134,0.10094170243108924
135,0.2959678965471422
136,0.34225582729747495
137,0.2497307812137297
138,0.5147619085311526
139,0.3439681960387364
140,0.8288663838322798
141,0.6316793899309969
142,0.249762746349123
143,-0.21016600922770223
144,0.7286841181203147
145,0.34944795262789996
146,0.2755794975623558
147,0.16170823153229041
148,-0.6088997865033381
149,0.5767519029016819
150,0.42705890056463724
151,0.2465927059040094
152,0.5100877802444646
153,0.7221591038731445
154,0.2420144339814454
155,0.5457941692075001
156,-0.013783456884705059
157,-0.010163225073448134
158,0.38387125753791906
159,0.3070726413649527
160,0.5968805312355163
161,-0.03518881854321043
162,-0.9926508452764123
163,-0.05004199265095721
164,0.5416226520786904
165,0.5588122819773387
166,0.5517114170596982
167,-0.9383353117046154
168,0.02492211960934476
169,0.6706130957185554
170,-0.8640602885774997
171,0.3317032929765078
172,0.5606972346768739
173,-0.21706519548775394
174,0.04592223319376898
175,0.0689660562038692
176,0.5449416976202748
177,0.6787561943078584
178,0.7155103772017748
179,0.6369091386041754
180,0.6126842102477306
181,0.21932630674560416
182,0.332994199187693
183,0.4521519704458088
184,0.3195116592409335
185,0.209183623591765
186,0.027150546739470816
187,0.7623017968583443
188,0.3207055993089727
189,0.03198134654560825
190,0.47450112692169544
191,-0.26102355510102315
192,0.3275602521513139
193,0.07267861565394407
194,-0.09893211538616886
195,0.7059928732125793
196,0.4673283179230825
197,0.20840935993720633
198,-0.3469758833183503
199,-0.9429525436868449
200,0.02145601203126213
201,0.49489287085193
202,0.19005603300312557
203,0.13267080914788565
204,0.07560427973913342
205,-0.8588350683063685
206,0.06767155497697908
207,-0.22030376469967106
208,0.49811292551669717
209,-0.9764639464658865
210,-0.9600725811647738
211,-0.9942417956212621
212,0.08359652796948303
213,0.23996137256890426
214,0.638216104842366
215,0.8698303173868966
216,-0.739783672028616
217,0.20825076569575418
218,0.31568638017344086
219,-0.40710801345375136
220,0.40099069092179396
221,-0.44571880285492715
222,0.4215094081166466
223,0.4872475589855956
224,0.5879634556248767
225,0.6342053557577099
226,0.4346966321593284
227,0.5313535058100396
228,0.2604478919665898
229,-0.5244086410803492
230,-0.9740723624574547
231,0.29792703906192686
232,0.35204111931859994
233,0.8310326728493309
234,0.2293894097432514
235,0.6343612322594956
236,-0.9554345354467341
237,0.13193274881824468
238,0.27877847378669585
239,-0.047079080008565644
240,-0.5058281161470699
241,-0.38503014739036057
242,0.03252977092221743
243,0.6629611951780177
244,0.1154878951754299
245,-0.8974242904626789
246,-0.9815501261509461
247,-0.7361138707118755
248,-0.0996446625739188
249,0.35988461221045576
250,-0.8298517492912831
251,0.5410735768257307
252,0.5938982774115478
253,0.4057624855530657
254,0.8283253779056534
255,0.5747902318190183
256,0.25181423355195
257,-0.23312156961913433
258,0.2392672629439594
259,0.4035906675498846
260,0.3093232886248649
261,0.4042198553988863
262,0.25873339770060233
263,-0.009488712195973137
264,-0.8639886483380086
265,0.431102174669737
266,0.7530522632670518
267,0.3145147879468697
268,-0.9776913845527346
269,-0.29448650686014877
270,0.856578032246508
271,0.47739764837318655
272,-0.15336414281447108
273,-0.6638543946729765
274,0.17988549162786316
275,0.20883132273195626
276,0.2522283466931139
277,-0.9341161385360688
278,0.5495905872777098
279,-0.004604109743079121
280,0.4610977212019698
281,0.44977828903309547
282,-0.7514080814420121
283,0.7915695733963872
284,0.2790828068830957
285,0.2703567898144572
286,-0.6678962382100764
287,-0.9832143026911987
288,0.5521002530086647
289,-0.026443500425709643
290,-0.7833330545566857
291,-0.8419184292780394
292,0.09366503702992168
293,-0.968652273564319
294,0.21227032282414138
295,0.23365579626595379
296,0.2399259793067905
297,0.2429683309680717
298,0.4821653221514228
299,0.22667698356910138
300,0.5231154205611075
301,-0.9884555068010283
302,0.8446157905335874
303,-0.46773197782468023
304,0.2068743748478643
305,0.013020144105678089
306,0.488241907904172
307,-0.9910707064506662
308,0.6921015963018822
309,0.6442388198009306
310,0.104447697832456
311,0.34858752751752253
312,-0.3774394078251351
313,0.4509276333907577
314,0.32779205389409016
315,0.29675728293411696
316,-0.2907095031651665
317,0.0732683043708342
318,0.3672254816665137
319,-0.6313244347494603
320,-0.08707835981530454
321,-0.3343367564083478
322,0.17220207591263215
323,0.6425527672577527
324,-0.8841904997937372
325,0.4108407266931986
326,-0.9925457753989098
327,0.35748401686386444
328,0.6026632817576008
329,0.5784833660449942
330,-0.7427643947966536
331,0.44354026379617006
332,-0.9266952303503324
333,-0.9469026278509333
334,0.3545134555560443
335,0.3846868189871764
336,-0.0406489997825209
337,-0.8925000993996205
338,-0.09575588319061845
339,0.35878462704514247
340,0.18201002183666648
341,0.6991838580996323
342,0.07338587071546865
343,0.5150181255798048
344,0.10995835250180774
345,0.18047882389595804
346,0.5033745285713154
347,-0.9599385668150583
348,0.34732609899457545
349,0.7363519386289292
350,-0.795695060252615
351,0.22012835255575625
352,0.266173444738252
353,0.5490022874796503
354,-0.620960927933084
355,0.5882125324685923
356,0.4683570852512502
357,0.13424883997030146
358,-0.47427658933801276
359,-0.9703230331314182
360,-0.5230339140944744
361,0.47901003009679965
362,0.6272207054779921
363,0.5139800957663478
364,0.20831773407324716
365,0.3735983294599461
366,-0.2491397535155967
367,-0.3337489599241624
368,0.49914815669480617
369,0.11992782569726756
370,0.5498205672848964
371,0.5691724167452827
372,-0.148062191786141
373,0.5750368957052412
374,0.22678623296005007
375,0.5766566407344056
376,-0.43382366134331785
377,-0.19418949552277098
378,0.4638018414026306
379,-0.958690407062607
380,-0.37196706494993126
381,0.4334806115079417
382,-0.9387611889211529
