,MVA
0,0.3338501786701309
1,0.5269220100276277
2,-0.3863624792537046
3,0.40902259914865
4,-0.9506401428061678
5,0.46654910919730685
6,0.16018801057526977
7,0.31207230311659284
8,0.4443387988397849
9,0.0017855231109689118
10,-0.9392751551775984
11,0.26538623325125354
12,-0.1272997104463941
13,-0.5670965560634875
14,0.3398731214249613
15,0.3493264174698072
16,0.3623378559155299
17,-0.3645435661607028
18,-0.165543809483091
19,-0.8239019806826163
20,0.22023403816456555
21,-0.6327398510687046
22,-0.24959427314273686
23,-0.20916653414930775
24,0.5540680849935633
25,0.23910493956996026
26,-0.4711649405722711
27,0.21045980926818508
28,-0.4051567576832087
29,0.25410537392399
30,0.06538694460406336
31,-0.16148318934181904
32,0.7177425107066677
33,-0.8970786123658809
34,-0.8913025955724592
35,-0.647874580075185
36,-0.07919310932065049
37,0.053909520887045925
38,-0.9186184307531238
39,-0.057969493262175265
40,0.21938304895668748
41,0.15157428857672572
42,0.12729132252256026
43,0.24602306096480664
44,0.282558684737819
45,-0.9397037104518918
46,-0.025817095908576504
47,0.2518387439985854
48,0.07199157245979437
49,-0.9028312259598376
50,0.33657606824304187
51,-0.13686792690196925
52,0.8582947768355345
53,-0.7332394883979243
54,0.47681980632135423
55,-0.8605677054775437
56,-0.9860457080961001
57,-0.06383334306683164
58,-0.844616355673715
59,-0.15085120140552621
60,-0.6635235919108752
61,0.06197012225651477
62,0.8623429396483189
63,0.3619213620376911
64,-0.8092206734565041
65,0.12048177255648596
66,0.570824288679874
67,0.26890320767925124
68,-0.5210672531633372
69,0.4663445282710823
70,-0.7376913121629181
71,0.5026509155704237
72,-0.3337472852858554
73,-0.1279063285526394
74,0.14133193468898364
75,-0.6247080311415983
76,-0.35869594061243393
77,-0.9431377976384898
78,-0.19768676021327214
79,-0.023036405136094618
80,-0.9391941806952636
81,-0.22728543629800568
82,-0.6287128614621406
83,0.522594753531952
84,-0.3933548978295345
85,0.6176728191656549
86,0.2803450402380645
87,-0.12863749320308904
88,-0.10450108604611996
89,0.4927348142125969
90,0.49230164854823966
91,0.5468473600507415
92,0.38654980449311327
93,0.34220460721425194
94,-0.9852083839764905
95,0.32409469846816896
96,0.4861160129209434
97,-0.0231362554083282
98,0.26662585722224885
99,0.3837056714473137
100,-0.1683441364530921
101,-0.9512253766089165
102,-0.04537790199303138
103,-0.023827548652504582
104,-0.6396954790699977
105,-0.9733261358728832
106,-0.9697585563279177
107,0.12678977508554734
108,-0.5412148253199729
109,0.15459431915440902
110,0.17589667388293417
111,-0.47829537213635875
112,-0.06525901224983954
113,0.6823433820678984
114,0.21371428394382286
115,-0.006297929442967032
116,0.7151351133077126
117,0.4221361440063309
118,-0.3317737803007986
119,0.5135892631251591
120,0.42588135215226175
121,0.4478759496487603
122,-0.3985108366165544
123,0.40906028569859454
124,-0.04765161529618811
125,0.24292112509899155
126,0.510826192844176
127,-0.9631324481575121
128,0.14023036075687467
129,0.30028876863638376
130,0.31457890232375707
131,-0.21399510246858755
132,-0.7639557716343355
133,-0.47099159076593766
134,0.34631069707380724
135,-0.1954739228260146
136,0.26530516548726624
137,-0.056290884578078404
138,-0.06323841217383852
139,0.08009475641858144
140,-0.2832969805386639
141,0.2655527627031826
142,0.1379339136510198
143,0.35072870185782645
144,0.32071936318443983
145,-0.557287614263548
146,0.7254881985755601
147,-0.5223282697856628
148,0.2719096784197512
149,0.2495876386911402
150,0.6142116073168615
151,-0.14409936209690155
152,-0.0004056065045402457
153,0.3023671997954487
154,-0.26182570327351495
155,-0.9547252867490538
156,-0.8371984322355873
157,0.6215890950844449
158,-0.326682588568886
159,-0.4016517903513156
160,0.2990341169107298
161,0.4424430524790688
162,0.02753789294362452
163,0.03704440349333149
164,0.056890005911790276
165,0.2375450592660837
166,0.4133999279390175
167,0.10418855408550809
168,-0.9406456608070372
169,-0.8889981852721675
170,-0.619887314197451
171,-0.25696098945358736
172,0.28974256649282615
173,-0.05691006685143929
174,-0.9550960058403776
175,0.2992937895860359
176,0.16856931441307554
177,-0.2744903971573067
178,0.30172506562531587
179,0.05148943466047751
180,-0.950444872996527
181,0.14617075775253485
182,-0.08345516983252899
183,0.553114713756667
184,-0.3439088207437102
185,-0.4050181482031082
186,-0.472193343936947
187,0.23188743286596392
188,0.48068299561902195
189,0.29155954245672633
190,0.1231048099981722
191,-0.47376737410220426
192,0.054814897344918956
193,0.31771692230373394
194,0.1829628138340076
195,0.029943959472903625
196,0.09909264905408843
197,0.042428445832714656
198,0.17846227907971968
199,0.273220294799823
200,0.1500296777593113
201,0.42543682945423744
202,-0.8043133116102277
203,-0.8344797774115289
204,0.5060916804391231
205,-0.4404346372119934
206,0.22159620278560577
207,0.2270880548390175
208,0.06185518099240661
209,0.635126953348855
210,-0.0748057200742186
211,-0.01574070512057002
212,0.11004583682698899
213,0.6821754451543462
214,-0.2467955288224255
215,0.6399690671375187
216,0.049542499968622034
217,0.011694430346456564
218,-0.37717887587126675
219,-0.23684026935598812
220,0.38902382089390675
221,0.27622712392343574
222,-0.48112269259622265
223,-0.4246114065660477
224,-0.19244385925608043
225,0.07295694816610454
226,0.4227265938054947
227,-0.7029064366114852
228,0.23606793897577316
229,-0.29859349507723065
230,0.11720929204081432
231,0.2572778696219047
232,0.354815693276719
233,-0.02370795370625889
234,0.08486845484537131
235,-0.004280464366654635
236,-0.47165555827879346
237,-0.7087803136866628
238,0.3196344906140254
239,0.6747800770945191
240,0.14175691697695036
241,0.18595479100747303
242,0.3772933383398227
243,0.4293725572685114
244,0.34992644626487923
